Work,Author 
The Art of War,Sun Tzu
Analects,Confucious
Tao Te Ching,Laozi
Mencius,Mencius
Gongsun Long,Gonsun Long
Parmenides,Plato
Timaeus,Plato
The Republic,Plato
Theatetus,Plato
Phaedo,Plato
Metaphysics,Aristotle
Nicomachean Ethics,Aristotle
Politics,Aristotle
Organon,Aristotle
On the Soul,Aristotle
On Nature,Epicurus
On the Nature of Things,Lucretius
Enchiridion,Epictetus
Discourses,Epictetus
Meditations,Marcus Aurelius
Letters from a Stoic,Lucious Seneca
Outlines of Pyrrhonianism,Sextus Empiricus
Isagoge,Porphyry
On the Laws,Marcus Tullius Cicero
Samkhyakarika,Isvarakrsna
Nyaya Sutras,Akshapada Gautama
Upadesasahasri,Adi Shankara
The City of God,Augustine of Hippo
The Consolation of Philosophy,Boethius
The Enneads,Plotinus
The Book of Healing,Avicenna
The Incoherence of the Incoherence,Averroes
The Guide for the Perplexed,Maimonides
The Book of Beliefs and Opinions,Saadia Gaon
Proslogion,Anselm of Canterbury
Dialectica,Peter Abelard
The Metaphysics of Light,Robert Grosseteste
Summa Theologica,Thomas Aquinas
Ordinatio,Duns Scotus
Opus Majus,Rodger Bacon
Sum of Logic,William Ockham
The Book of Five Rings ,Miyamoto Musashi
In Praise of Folly,Erasmus of Rotterdam
The Prince,Niccolo Machiavelli
Discourses on Livy,Niccolo Machiavelli
Novum Organum,Francis Bacon
Meditations on First Philosophy,Rene Descartes
Discourse on the Method,Rene Descartes
Leviathan,Thomas Hobbes
An Essay Concerning Human Understanding,John Locke
Two Treatises of Government,John Locke
Discourse on Metaphysics,Gottfried Leibniz
Monadology,Gottfried Leibniz
New Essays on Human Understanding,Gottfried Leibniz
A Treatise Concerning the Principles of Human Knowledge,George Berkely
Ethics,Baruch Spinoza
A Treatise on Human Nature,David Hume
An Enquiry Concerning the Principles of Morals,David Hume
An Enquiry Concerning Human Understanding,David Hume
Four Dissertation: No.4.Of the Standard of Taste,David Hume
Man a Machine,Jullien Offrey
The Spirit of the Laws,Montesquieu
Theory of Moral Sentiments,Adam Smith
Discourse on the Origin of Inequality,Rousseau
Inquiry into the Human Mind on the Principles of Common Sense,Thomas Reid
Essays on the Intellectual Powers of Man,Thomas Reid
Prolegomena to Any Future Metaphysics,Immanuel Kant
Critique of Pure Reason,Immanuel Kant
Critique of Practical Reason,Immanuel Kant
Critique of Judgement,Immanuel Kant
Reflections on the Revolution on France,Edmund Burke
Rights of Man,Thomas Paine
A Vindication of the Rights of Women,Mary Wollstonecraft
Foundations of the Science of Knowledge,Johann Gottlieb Fichte
An Introduction to the Principles of Morals and Legislation,Bentham
Phenomenology of Spirit,Georg Hegel
Science of Logic,Georg Hegel
The Philosophy of Right,Georg Hegel
Course of Positive Philosophy: Book 6-Social Physics,Auguste Comte
The World as Will and Representation Book 1/2,Arthur Schopenhauer 
The World as Will and Representation Book 3/4,Arthur Schopenhauer 
Fear and Trembling,Soren Kierkegaard
Either/Or,Soren Kierkegaard
Das Kapital,Karl Marx
On Liberty,John Stuart Mill
Utilitarianism,John Stuart Mill
The Subjugation of Women,John Stuart Mill
Thus Spoke Zarathustra,Friedrich Niezsche
Beyond Good and Evil,Friedrich Niezsche
On the Genealogy of Morals,Friedrich Niezsche
On Sense and Reference,Gottlob Frege
Begriffsschrift,Gottlob Frege
The Problems of Philosophy,Bertrand Russel
Tractatus Logico-Philosophicus,Ludwig Wittgenstein
Philosophical Investigations,Ludwig Wittgenstein
The Philosophy of Logical Atomism,Bertrand Russel
Principia Mathematica,Bertrand Russel
The Idea of Phenomenology,Edmund Husserl
Logical Investigations,Edmund Husserl
Being and Time,Martin Heidegger
The Myth of Sisyphus,Albert Camus
Of Grammatology,Jacques Derrida
Being and Nothingness,Jean-Paul Sartre
Negative Dialectics,Theodor Adorno
Aesthetic Theory,Theodor Adorno
The Second Sex,Simone de Beauvoir
The Order of Things,Michel Foucault
Philosophy and the Mirror of Nature,Richard Rorty
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Kurt Godel
Two Dogmas of Empiricism,William Quine
Naming and Necessity,Saul Kripke
Natural Law and Natural Rights,John Finnis
The Concept of Law,H.L.A. Hart
