Work,Western/Eastern
The Art of War,Eastern
Analects,Eastern
Tao Te Ching,Eastern
Mencius,Eastern
Gongsun Long,Eastern
Parmenides,Western
Timaeus,Western
The Republic,Western
Theatetus,Western
Phaedo,Western
Metaphysics,Western
Nicomachean Ethics,Western
Politics,Western
Organon,Western
On the Soul,Western
On Nature,Western
On the Nature of Things,Western
Enchiridion,Western
Discourses,Western
Meditations,Western
Letters from a Stoic,Western
Outlines of Pyrrhonianism,Western
Isagoge,Western
On the Laws,Western
Samkhyakarika,Eastern
Nyaya Sutras,Eastern
Upadesasahasri,Eastern
The City of God,Western
The Consolation of Philosophy,Western
The Enneads,Western
The Book of Healing,Western
The Incoherence of the Incoherence,Western
The Guide for the Perplexed,Western
The Book of Beliefs and Opinions,Western
Proslogion,Western
Dialectica,Western
The Metaphysics of Light,Western
Summa Theologica,Western
Ordinatio,Western
Opus Majus,Western
Sum of Logic,Western
The Book of Five Rings ,Eastern
In Praise of Folly,Western
The Prince,Western
Discourses on Livy,Western
Novum Organum,Western
Meditations on First Philosophy,Western
Discourse on the Method,Western
Leviathan,Western
An Essay Concerning Human Understanding,Western
Two Treatises of Government,Western
Discourse on Metaphysics,Western
Monadology,Western
New Essays on Human Understanding,Western
A Treatise Concerning the Principles of Human Knowledge,Western
Ethics,Western
A Treatise on Human Nature,Western
An Enquiry Concerning the Principles of Morals,Western
An Enquiry Concerning Human Understanding,Western
Four Dissertation: No.4.Of the Standard of Taste,Western
Man a Machine,Western
The Spirit of the Laws,Western
Theory of Moral Sentiments,Western
Discourse on the Origin of Inequality,Western
Inquiry into the Human Mind on the Principles of Common Sense,Western
Essays on the Intellectual Powers of Man,Western
Prolegomena to Any Future Metaphysics,Western
Critique of Pure Reason,Western
Critique of Practical Reason,Western
Critique of Judgement,Western
Reflections on the Revolution on France,Western
Rights of Man,Western
A Vindication of the Rights of Women,Western
Foundations of the Science of Knowledge,Western
An Introduction to the Principles of Morals and Legislation,Western
Phenomenology of Spirit,Western
Science of Logic,Western
The Philosophy of Right,Western
Course of Positive Philosophy: Book 6-Social Physics,Western
The World as Will and Representation Book 1/2,Western
The World as Will and Representation Book 3/4,Western
Fear and Trembling,Western
Either/Or,Western
Das Kapital,Western
On Liberty,Western
Utilitarianism,Western
The Subjugation of Women,Western
Thus Spoke Zarathustra,Western
Beyond Good and Evil,Western
On the Genealogy of Morals,Western
On Sense and Reference,Western
Begriffsschrift,Western
The Problems of Philosophy,Western
Tractatus Logico-Philosophicus,Western
Philosophical Investigations,Western
The Philosophy of Logical Atomism,Western
Principia Mathematica,Western
The Idea of Phenomenology,Western
Logical Investigations,Western
Being and Time,Western
The Myth of Sisyphus,Western
Of Grammatology,Western
Being and Nothingness,Western
Negative Dialectics,Western
Aesthetic Theory,Western
The Second Sex,Western
The Order of Things,Western
Philosophy and the Mirror of Nature,Western
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Western
Two Dogmas of Empiricism,Western
Naming and Necessity,Western
Natural Law and Natural Rights,Western
The Concept of Law,Western
