Work,Original Langauge
The Art of War,Chinese
Analects,Chinese
Tao Te Ching,Chinese
Mencius,Chinese
Gongsun Long,Chinese
Parmenides,Greek
Timaeus,Greek
The Republic,Greek
Theatetus,Greek
Phaedo,Greek 
Metaphysics,Greek
Nicomachean Ethics,Greek
Politics,Greek
Organon,Greek
On the Soul,Greek
On Nature,Greek
On the Nature of Things,Latin
Enchiridion,Greek
Discourses,Greek
Meditations,Greek
Letters from a Stoic,Latin
Outlines of Pyrrhonianism,Greek
Isagoge,Greek
On the Laws,Latin
Samkhyakarika,Sanskrit
Nyaya Sutras,Sanskrit
Upadesasahasri,Sanskrit
The City of God,Latin
The Consolation of Philosophy,Latin
The Enneads,Greek
The Book of Healing,Arabic
The Incoherence of the Incoherence,Arabic
The Guide for the Perplexed,Judao-Arabic
The Book of Beliefs and Opinions,Judao-Arabic
Proslogion,Latin
Dialectica,Latin
The Metaphysics of Light,Latin
Summa Theologica,Latin
Ordinatio,Latin
Opus Majus,Latin
Sum of Logic,Latin
The Book of Five Rings ,Japanese
In Praise of Folly,Latin
The Prince,Italian
Discourses on Livy,Italian
Novum Organum,Latin
Meditations on First Philosophy,French
Discourse on the Method,French
Leviathan,English
An Essay Concerning Human Understanding,English
Two Treatises of Government,English
Discourse on Metaphysics,French
Monadology,French
New Essays on Human Understanding,French
A Treatise Concerning the Principles of Human Knowledge,English
Ethics,Latin
A Treatise on Human Nature,English
An Enquiry Concerning the Principles of Morals,English
An Enquiry Concerning Human Understanding,English
Four Dissertation: No.4.Of the Standard of Taste,English
Man a Machine,French
The Spirit of the Laws,French
Theory of Moral Sentiments,English
Discourse on the Origin of Inequality,French
Inquiry into the Human Mind on the Principles of Common Sense,English
Essays on the Intellectual Powers of Man,English
Prolegomena to Any Future Metaphysics,German
Critique of Pure Reason,German
Critique of Practical Reason,German
Critique of Judgement,German
Reflections on the Revolution on France,English
Rights of Man,English
A Vindication of the Rights of Women,English
Foundations of the Science of Knowledge,German
An Introduction to the Principles of Morals and Legislation,English
Phenomenology of Spirit,German
Science of Logic,German
The Philosophy of Right,German
Course of Positive Philosophy: Book 6-Social Physics,French
The World as Will and Representation Book 1/2,German
The World as Will and Representation Book 3/4,German
Fear and Trembling,Danish
Either/Or,Danish
Das Kapital,German
On Liberty,English
Utilitarianism,English
The Subjugation of Women,English
Thus Spoke Zarathustra,German
Beyond Good and Evil,German
On the Genealogy of Morals,German
On Sense and Reference,German
Begriffsschrift,German
The Problems of Philosophy,English
Tractatus Logico-Philosophicus,German
Philosophical Investigations,German
The Philosophy of Logical Atomism,English
Principia Mathematica,English
The Idea of Phenomenology,German
Logical Investigations,German
Being and Time,German
The Myth of Sisyphus,French
Of Grammatology,French
Being and Nothingness,French
Negative Dialectics,German
Aesthetic Theory,German
The Second Sex,French
The Order of Things,French
Philosophy and the Mirror of Nature,English
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,German
Two Dogmas of Empiricism,English
Naming and Necessity,English
Natural Law and Natural Rights,English
The Concept of Law,English
