Work,Author,Era,School of Thought,Topic(s),Original Language,Prerequisite,Eastern/Western
,,,,,,,
The Art of War,Sun Tzu,Pre-Socratic,Martial,Ethics,Chinese,N/A,Eastern
Analects,Confucious,Pre-Socratic,Hundred Schools,Politics,Chinese,N/A,Eastern
Analects,Confucious,Pre-Socratic,Hundred Schools,Ethics,Chinese,N/A,Eastern
Tao Te Ching,Laozi,Pre-Socratic,Hundred Schools,Metaphysics,Chinese,N/A,Eastern
Tao Te Ching,Laozi,Pre-Socratic,Hundred Schools,Ethics,Chinese,N/A,Eastern
Mencius,Mencius,Pre-Socratic,Hundred Schools,Politics,Chinese,N/A,Eastern
Mencius,Mencius,Pre-Socratic,Hundred Schools,Ethics,Chinese,N/A,Eastern
Gongsun Long,Gonsun Long,Pre-Socratic,Hundred Schools,Logic,Chinese,N/A,Eastern
,,,,,,,
Parmenides,Plato,Post-Socratic,Platonism,Metaphysics,Greek,N/A,Western
Parmenides,Plato,Post-Socratic,Platonism,Epistemology,Greek,N/A,Western
Timaeus,Plato,Post-Socratic,Platonism,Metaphysics ,Greek,N/A,Western
The Republic,Plato,Post-Socratic,Platonism,Epistemology,Greek,N/A,Western
The Republic,Plato,Post-Socratic,Platonism,Politics,Greek,N/A,Western
Theatetus,Plato,Post-Socratic,Platonism,Epistemology,Greek,N/A,Western
Phaedo,Plato,Post-Socratic,Platonism,Metaphysics,Greek ,N/A,Western
,,,,,,,
Metaphysics,Aristotle,Post-Socratic,Aristotelian,Metaphysics,Greek,N/A,Western
Metaphysics,Aristotle,Post-Socratic,Aristotelian,Logic,Greek,N/A,Western
Nicomachean Ethics,Aristotle,Post-Socratic,Aristotelian,Ethics,Greek,N/A,Western
Politics,Aristotle,Post-Socratic,Aristotelian,Politics,Greek,N/A,Western
Organon,Aristotle,Post-Socratic,Aristotelian,Logic,Greek,N/A,Western
Organon,Aristotle,Post-Socratic,Aristotelian,Epistemology,Greek,N/A,Western
On the Soul,Aristotle,Post-Socratic,Aristotelian,Metaphysics,Greek,N/A,Western
On the Soul,Aristotle,Post-Socratic,Aristotelian,Mind,Greek,N/A,Western
,,,,,,,
On Nature,Epicurus,Post-Socratic,Epicureanism,Metaphysics,Greek,N/A,Western
