Work,School_of_Thought_Name
The Art of War,Martial
Analects,Hundred Schools
Tao Te Ching,Hundred Schools
Mencius,Hundred Schools
Gongsun Long,Hundred Schools
Parmenides,Platonism
Timaeus,Platonism
The Republic,Platonism
Theatetus,Platonism
Phaedo,Platonism
Metaphysics,Aristotelian
Nicomachean Ethics,Aristotelian
Politics,Aristotelian
Organon,Aristotelian
On the Soul,Aristotelian
On Nature,Epicureanism
On the Nature of Things,Epicureanism
Enchiridion,Stoicism
Discourses,Stoicism
Meditations,Stoicism
Letters from a Stoic,Stoicism
Outlines of Pyrrhonianism,Skepticism
Isagoge,Platonism
On the Laws,Republicanism
Samkhyakarika,Hindu
Nyaya Sutras,Hindu
Upadesasahasri,Hindu
The City of God,Platonism
The Consolation of Philosophy,Scholastic
The Enneads,Platonism
The Book of Healing,Platonism
The Incoherence of the Incoherence,Aristotelianism
The Guide for the Perplexed,Jewish
The Book of Beliefs and Opinions,Jewish
Proslogion,Scholasticism
Dialectica,Scholasticism
The Metaphysics of Light,Scholasticism
Summa Theologica,Scholasticism
Ordinatio,Scholasticism
Opus Majus,Scholasticism
Sum of Logic,Scholasticism
The Book of Five Rings ,Martial
In Praise of Folly,Humanism
The Prince,Republicanism
Discourses on Livy,Republicanism
Novum Organum,Empiricism
Meditations on First Philosophy,Rationalism
Discourse on the Method,Rationalism
Leviathan,Empirisism
An Essay Concerning Human Understanding,Empirisism
Two Treatises of Government,Liberalism
Discourse on Metaphysics,Idealism
Monadology,Idealism
New Essays on Human Understanding,Idealism
A Treatise Concerning the Principles of Human Knowledge,Idealism
Ethics,Rationalism
A Treatise on Human Nature,Empiricism
An Enquiry Concerning the Principles of Morals,Empiricism
An Enquiry Concerning Human Understanding,Empiricism
Four Dissertation: No.4.Of the Standard of Taste,Empiricism
Man a Machine,Materialism
The Spirit of the Laws,Liberalism
Theory of Moral Sentiments,Liberalism
Discourse on the Origin of Inequality,Liberalism
Inquiry into the Human Mind on the Principles of Common Sense,Realism
Essays on the Intellectual Powers of Man,Realism
Prolegomena to Any Future Metaphysics,Idealism
Critique of Pure Reason,Idealism
Critique of Practical Reason,Idealism
Critique of Judgement,Idealism
Reflections on the Revolution on France,Conservatism
Rights of Man,Liberalism
A Vindication of the Rights of Women,Feminist
Foundations of the Science of Knowledge,Idealism
An Introduction to the Principles of Morals and Legislation,Utilitarianism
Phenomenology of Spirit,Idealism
Science of Logic,Idealism
The Philosophy of Right,Idealism
Course of Positive Philosophy: Book 6-Social Physics,Positivism
The World as Will and Representation Book 1/2,Idealism
The World as Will and Representation Book 3/4,Idealism
Fear and Trembling,Extistentialism
Either/Or,Extistentialism
Das Kapital,Marxism
On Liberty,Utilitarianism
Utilitarianism,Utilitarianism
The Subjugation of Women,Feminist
Thus Spoke Zarathustra,Extistentialism
Beyond Good and Evil,Extistentialism
On the Genealogy of Morals,Extistentialism
On Sense and Reference,Analytic
Begriffsschrift,Analytic
The Problems of Philosophy,Analytic
Tractatus Logico-Philosophicus,Analytic
Philosophical Investigations,Analytic
The Philosophy of Logical Atomism,Analytic
Principia Mathematica,Math
The Idea of Phenomenology,Continental
Logical Investigations,Continental
Being and Time,Continental
The Myth of Sisyphus,Continental
Of Grammatology,Continental
Being and Nothingness,Continental
Negative Dialectics,Continental
Aesthetic Theory,Continental
The Second Sex,Feminist
The Order of Things,Continental
Philosophy and the Mirror of Nature,Post-Analytic
On Formally Undecidable Propositions of Principia Mathematica and Related Systems,Math
Two Dogmas of Empiricism,Post-Analytic
Naming and Necessity,Analytic
Natural Law and Natural Rights,Law
The Concept of Law,Law
