Work,Topic
The Art of War,Ethics
Analects,Politics
Analects,Ethics
Tao Te Ching,Metaphysics
Tao Te Ching,Ethics
Mencius,Politics
Mencius,Ethics
Gongsun Long,Logic
Parmenides,Metaphysics
Parmenides,Epistemology
Timaeus,Metaphysics 
The Republic,Epistemology
The Republic,Politics
Theatetus,Epistemology
Phaedo,Metaphysics
Metaphysics,Metaphysics
Metaphysics,Logic
Nicomachean Ethics,Ethics
Politics,Politics
Organon,Logic
Organon,Epistemology
On the Soul,Metaphysics
On the Soul,Mind
On Nature,Metaphysics
On the Nature of Things,Metaphysics
Enchiridion,Ethics
Discourses,Metaphysics
Discourses,Ethics
Meditations,Ethics
Letters from a Stoic,Ethics
Outlines of Pyrrhonianism,Epistemology
Isagoge,Metaphysics
On the Laws,Politics
Samkhyakarika,Metaphysics
Samkhyakarika,Epistemology
Samkhyakarika,Mind
Nyaya Sutras,Metaphysics
Nyaya Sutras,Logic
Nyaya Sutras,Epistemology
Upadesasahasri,Metaphysics
Upadesasahasri,Epistemology
Upadesasahasri,Mind
The City of God,Metaphysics
The City of God,Ethics
The City of God,Politics
The Consolation of Philosophy,Metaphysics
The Consolation of Philosophy,Ethics
The Enneads,Methaphysics
The Enneads,Ethics
The Book of Healing,Metaphysics
The Book of Healing,Logic
The Book of Healing,Epistemology
The Incoherence of the Incoherence,Metaphysics
The Incoherence of the Incoherence,Epistemology
The Guide for the Perplexed,Metaphysics
The Book of Beliefs and Opinions,Metaphysics
The Book of Beliefs and Opinions,Epistemology
The Book of Beliefs and Opinions,Ethics
Proslogion,Metaphysics
Dialectica,Logic
The Metaphysics of Light,Metaphysics
Summa Theologica,Metaphysics
Summa Theologica,Ethics
Ordinatio,Metaphysics
Ordinatio,Ethics
Opus Majus,Metaphysics
Opus Majus,Epistemology
Opus Majus,Logic
Sum of Logic,Logic
The Book of Five Rings ,Ethics
The Book of Five Rings ,Mind
In Praise of Folly,Ethics
The Prince,Politics
Discourses on Livy,Politics
Novum Organum,Epistemology
Meditations on First Philosophy,Metaphysics
Meditations on First Philosophy,Epistemology
Meditations on First Philosophy,Mind
Discourse on the Method,Metaphysics
Discourse on the Method,Epistemology
Leviathan,Politics
An Essay Concerning Human Understanding,Metaphysics
An Essay Concerning Human Understanding,Epistemology
Two Treatises of Government,Politics
Discourse on Metaphysics,Metaphysics
Monadology,Metaphysics
New Essays on Human Understanding,Metaphysics
New Essays on Human Understanding,Epistemology
A Treatise Concerning the Principles of Human Knowledge,Metaphysics
A Treatise Concerning the Principles of Human Knowledge,Epistemology
Ethics,Metaphysics
Ethics,Epistemology
Ethics,Ethics
A Treatise on Human Nature,Metaphysics
A Treatise on Human Nature,Ethics
A Treatise on Human Nature,Epistemology
A Treatise on Human Nature,Mind
An Enquiry Concerning the Principles of Morals,Ethics
An Enquiry Concerning Human Understanding,Metaphysics
An Enquiry Concerning Human Understanding,Epistemology
Four Dissertation: No.4.Of the Standard of Taste,Aesthetics
Man a Machine,Metaphysics
The Spirit of the Laws,Politics
Theory of Moral Sentiments,Ethics 
Discourse on the Origin of Inequality,Ethics
Discourse on the Origin of Inequality,Politics
Inquiry into the Human Mind on the Principles of Common Sense,Epistemology
Inquiry into the Human Mind on the Principles of Common Sense,Mind
Essays on the Intellectual Powers of Man,Epistemology
Essays on the Intellectual Powers of Man,Aesthetics
Essays on the Intellectual Powers of Man,Mind
Prolegomena to Any Future Metaphysics,Metaphysics
Critique of Pure Reason,Metaphysics
Critique of Practical Reason,Ethics
Critique of Judgement,Aesthetics
Reflections on the Revolution on France,Politics
Rights of Man,Politics
A Vindication of the Rights of Women,Politics
Foundations of the Science of Knowledge,Epistemology
An Introduction to the Principles of Morals and Legislation,Ethics
An Introduction to the Principles of Morals and Legislation,Politics
Phenomenology of Spirit,Metaphysics
Phenomenology of Spirit,Epistemology
Phenomenology of Spirit,Ethics
Science of Logic,Metaphysics
Science of Logic,Logic
The Philosophy of Right,Politics
Course of Positive Philosophy: Book 6-Social Physics,Social
The World as Will and Representation Book 1/2,Metaphysics
The World as Will and Representation Book 1/2,Epistemology
The World as Will and Representation Book 3/4,Ethics
The World as Will and Representation Book 3/4,Aesthetics
Fear and Trembling,Metaphysics
Fear and Trembling,Ethics
Fear and Trembling,Aesthetics
Either/Or,Ethics
Either/Or,Aesthetics
Das Kapital,Politics
On Liberty,Politics
Utilitarianism,Ethics
The Subjugation of Women,Politics
Thus Spoke Zarathustra,Metaphysics
Thus Spoke Zarathustra,Ethics
Beyond Good and Evil,Metaphysics
Beyond Good and Evil,Ethics
On the Genealogy of Morals,Ethics
On Sense and Reference,Epistemology
Begriffsschrift,Logic
The Problems of Philosophy,Epistemology
Tractatus Logico-Philosophicus,Metaphysics
